Cage_Mouse	Experiment_day	Sample_source	Log_repiricoal_dilution
LINE-188-D2	2	stool	1
MOUT-568-D2	2	stool	2.301029996
OUT2-NT-D2	2	stool	2.301029996
IN3-2336-D2	2	stool	1
OUT-2096-D2	2	stool	1
INA-2064-D2	2	stool	2.301029996
OUTA-NT-D2	2	stool	2.301029996
369-331-D2	2	stool	1
430-304-D2	2	stool	3.301029996
578-389-D2	2	stool	2.301029996
OP-2542-D2	2	stool	1
P2-2561-D2	2	stool	1
NP2-2630-D2	2	stool	1
NP1-2725-D2	2	stool	1
Y-532-D2	2	stool	2.301029996
N-534-D2	2	stool	2.301029996
IN2-2673-D2	2	stool	1
A-503-D2	2	stool	1
369-992-D2	2	stool	1
D-540-D2	2	stool	1
C-596-D2	2	stool	1
430-307-D2	2	stool	2
IN2-2629-D2	2	stool	2.301029996
578-984-D2	2	stool	2.301029996
NP1-2597-D2	2	stool	1
OUTA-2063-D2	2	stool	1
P2-2564-D2	2	stool	1
Y-NT-D2	2	stool	3.698970004
N-540-D2	2	stool	3
A-566-D2	2	stool	1
C-516-D2	2	stool	1
D-507-D2	2	stool	1
INA-NTC-D2	2	cecalcon	1
CONA-NTC-D2	2	cecalcon	4.397940009
OP-931-D2	2	stool	1
IN2-2613-D2	2	stool	2.301029996
IN3-NT-D2	2	stool	1
OUT2-2533-D2	2	stool	1
LINE-MNT-D2	2	stool	1
430-920-D2	2	stool	3
369-942-D2	2	stool	3
578-382-D2	2	stool	2.301029996
Y-MT-D2	2	stool	2.301029996
N-525-D2	2	stool	1
A-526-D2	2	stool	1
D-527-D2	2	stool	1
INA-2056C-D2	2	cecalcon	4.397940009
CONA-2955C-D2	2	cecalcon	1
OUT2-2510-D2	2	stool	1
LINE-978-D2	2	stool	1
430-964-D2	2	stool	1
369-939-D2	2	stool	1
NP2-983-D2	2	stool	1
N-535-D2	2	stool	3.477121255
INA-2064C-D2	2	cecalcon	3.698970004
CONA-2953C-D2	2	cecalcon	1
OP-2091-D2	2	stool	3.698970004
NP1-2725-D3	3	stool	1
NP2-2630-D3	3	stool	1
P2-2564-D3	3	stool	1
N-540-D3	3	stool	1
A-566-D3	3	stool	1
C-596-D3	3	stool	1
D-527-D3	3	stool	1
OUTA-2062-D3	3	stool	3
OUT-2028-D3	3	stool	3
IN1-2054C-D3	3	cecalcon	4.397940009
IN2-2673-D3	3	stool	1
IN3-2336-D3	3	stool	1
OUT2-NT-D3	3	stool	1
LINE-978-D3	3	stool	1
MOUT-568-D3	3	stool	2.301029996
430-304-D3	3	stool	2.301029996
369-331-D3	3	stool	3
578-382C-D2	2	cecalcon	3.698970004
NP1-2597-D3	3	stool	1
NP2-983-D3	3	stool	1
P2-2517-D3	3	stool	1
N-534-D3	3	stool	2.301029996
A-503-D3	3	stool	1
C-516-D3	3	stool	1
D-507-D3	3	stool	1
OP-931-D3	3	stool	1
OUT-2081-D3	3	stool	2.77815125
IN1-2026C-D3	3	cecalcon	3
IN2-2629-D3	3	stool	2.301029996
IN3-2318-D3	3	stool	1
OUT2-2510-D3	3	stool	1
LINE-188-D3	3	stool	1
430-307-D3	3	stool	3.698970004
369-939-D3	3	stool	1
578-984C-D2	2	cecalcon	4.397940009
NP1-317-D3	3	stool	1
P2-2561-D3	3	stool	1
N-525-D3	3	stool	3
A-526-D3	3	stool	1
OUTA-2063-D3	3	stool	1
IN2-2613-D3	3	stool	1
OUT-2096-D3	3	stool	1
IN3-NT-D3	3	stool	1
